cms_code_enc,window_end,item_count,total_fee,complaint_count,delay_rate_pct,nodone_rate_pct,avg_order_value,service_types,active_months,risk_latent_for_generation
SYN-LG-0412,2412,121,21359283,0,2.82,2.32,176523,3,6,0.919
SYN-LG-0412,2501,110,17766760,1,4.48,3.47,161516,3,6,0.919
SYN-LG-0412,2502,87,14068248,2,5.29,4.43,161704,2,6,0.919
SYN-LG-0412,2503,79,11264452,2,6.79,5.32,142588,2,6,0.919
SYN-LG-0412,2504,68,9620300,3,8.71,6.82,141475,2,6,0.919
SYN-LG-0412,2505,36,4112748,7,13.66,10.41,114243,1,6,0.919
SYN-LG-1865,2412,138,20346858,3,4.66,3.22,147441,4,6,0.898
SYN-LG-1865,2501,117,16221699,3,6.83,3.86,138647,4,6,0.898
SYN-LG-1865,2502,105,14236530,4,7.84,4.67,135586,3,6,0.898
SYN-LG-1865,2503,93,11921949,4,9.0,5.76,128193,3,6,0.898
SYN-LG-1865,2504,76,8972788,5,10.75,7.55,118063,3,6,0.898
SYN-LG-1865,2505,45,4044015,8,15.75,10.71,89867,1,6,0.898
SYN-LG-2308,2412,82,9889938,0,4.39,1.83,120609,7,6,0.877
SYN-LG-2308,2501,79,8720099,0,5.57,3.33,110381,7,6,0.877
SYN-LG-2308,2502,67,7233990,1,7.15,3.91,107970,6,6,0.877
SYN-LG-2308,2503,57,5708037,2,8.73,5.34,100141,6,6,0.877
SYN-LG-2308,2504,49,4455423,3,9.73,6.22,90927,6,6,0.877
SYN-LG-2308,2505,28,2056096,7,14.98,9.79,73432,4,6,0.877
SYN-LG-3174,2412,90,16260840,0,3.85,2.17,180676,5,6,0.856
SYN-LG-3174,2501,78,13389714,0,5.81,3.35,171663,5,6,0.856
SYN-LG-3174,2502,73,11916885,1,7.42,4.16,163245,4,6,0.856
SYN-LG-3174,2503,66,10340352,2,8.32,5.88,156672,4,6,0.856
SYN-LG-3174,2504,58,8115998,2,9.39,6.28,139931,4,6,0.856
SYN-LG-3174,2505,32,3892448,7,14.74,10.16,121639,2,6,0.856
SYN-LG-4091,2412,259,38101490,0,4.73,4.48,147110,4,6,0.835
SYN-LG-4091,2501,231,30751644,1,6.27,5.6,133124,4,6,0.835
SYN-LG-4091,2502,213,26774952,2,6.89,6.02,125704,3,6,0.835
SYN-LG-4091,2503,186,23138772,2,8.33,7.65,124402,3,6,0.835
SYN-LG-4091,2504,153,17998920,2,10.13,8.6,117640,3,6,0.835
SYN-LG-4091,2505,91,8993257,6,14.26,12.06,98827,1,6,0.835
SYN-LG-5220,2412,118,16988342,0,3.69,2.93,143969,6,6,0.814
SYN-LG-5220,2501,111,15355740,1,4.66,3.43,138340,6,6,0.814
SYN-LG-5220,2502,101,13871138,2,6.29,4.24,137338,5,6,0.814
SYN-LG-5220,2503,84,10721760,2,6.94,5.35,127640,5,6,0.814
SYN-LG-5220,2504,73,8805625,3,8.36,6.53,120625,5,6,0.814
SYN-LG-5220,2505,44,4422088,6,13.32,9.87,100502,3,6,0.814
SYN-LG-0007,2412,169,16225521,0,5.46,1.82,96009,7,1,0.793
SYN-LG-0007,2501,150,13422300,1,6.51,2.9,89482,7,2,0.793
SYN-LG-0007,2502,133,11695887,1,7.97,3.97,87939,6,3,0.793
SYN-LG-0007,2503,124,9880072,3,9.3,4.96,79678,6,4,0.793
SYN-LG-0007,2504,104,7887152,3,10.21,5.37,75838,6,5,0.793
SYN-LG-0007,2505,67,4341734,5,15.56,9.21,64802,4,6,0.793
SYN-LG-0008,2412,258,41832120,0,3.2,2.08,162140,4,6,0.772
SYN-LG-0008,2501,247,39757367,0,4.8,3.16,160961,4,6,0.772
SYN-LG-0008,2502,219,32603625,1,5.51,4.12,148875,3,6,0.772
SYN-LG-0008,2503,194,28249504,2,6.93,4.66,145616,3,6,0.772
SYN-LG-0008,2504,166,22158510,3,8.81,5.63,133485,3,6,0.772
SYN-LG-0008,2505,107,11788511,5,13.02,8.67,110173,1,6,0.772
