cms_code_enc,window_end,predict_period,item_last,revenue_last,complaint_last,delay_last,nodone_last,order_score_last,satisfaction_last,churn_rate,model_probability_pct,reason_1,reason_1_code,reason_1_metric,reason_1_baseline,reason_1_delta,reason_1_delta_pct,reason_1_severity,reason_2,reason_2_code,reason_2_metric,reason_2_baseline,reason_2_delta,reason_2_delta_pct,reason_2_severity,reason_3,reason_3_code,reason_3_metric,reason_3_baseline,reason_3_delta,reason_3_delta_pct,reason_3_severity,updated_at
SYN-LG-0412,2505,2507,36,4112748,7,13.66,10.41,3.0,3.16,0.8899,88.99,Số bưu gửi tháng hiện tại thấp hơn 54% so với trung bình 3 tháng liền trước,item_drop,36.0,78.0,-42.0,0.5385,10.5385,Số lượng khiếu nại nhận được tăng 200% so với trung bình 3 tháng liền trước,complaint_increase,7.0,2.33,4.67,2.0,11.0,Tỷ lệ số đơn giao muộn tăng 97% so với trung bình 3 tháng liền trước,delay_rate_increase,13.66,6.93,6.73,0.9711,8.9711,2025-06-02T08:00:00Z
SYN-LG-1865,2505,2507,45,4044015,8,15.75,10.71,3.25,3.32,0.866,86.6,Số bưu gửi tháng hiện tại thấp hơn 51% so với trung bình 3 tháng liền trước,item_drop,45.0,91.33,-46.33,0.5073,10.5073,Số lượng khiếu nại nhận được tăng 85% so với trung bình 3 tháng liền trước,complaint_increase,8.0,4.33,3.67,0.8462,9.8462,Tỷ lệ số đơn giao muộn tăng 71% so với trung bình 3 tháng liền trước,delay_rate_increase,15.75,9.2,6.55,0.7126,8.7126,2025-06-02T08:00:00Z
SYN-LG-2308,2505,2507,28,2056096,7,14.98,9.79,3.1,3.27,0.8682,86.82,Số bưu gửi tháng hiện tại thấp hơn 51% so với trung bình 3 tháng liền trước,item_drop,28.0,57.67,-29.67,0.5145,10.5145,Số lượng khiếu nại nhận được tăng 250% so với trung bình 3 tháng liền trước,complaint_increase,7.0,2.0,5.0,2.5,11.5,Tỷ lệ số đơn giao muộn tăng 75% so với trung bình 3 tháng liền trước,delay_rate_increase,14.98,8.54,6.44,0.7548,8.7548,2025-06-02T08:00:00Z
SYN-LG-3174,2505,2507,32,3892448,7,14.74,10.16,3.17,3.33,0.8337,83.37,Số bưu gửi tháng hiện tại thấp hơn 51% so với trung bình 3 tháng liền trước,item_drop,32.0,65.67,-33.67,0.5127,10.5127,Số lượng khiếu nại nhận được tăng 320% so với trung bình 3 tháng liền trước,complaint_increase,7.0,1.67,5.33,3.2,12.2,Tỷ lệ số đơn giao muộn tăng 76% so với trung bình 3 tháng liền trước,delay_rate_increase,14.74,8.38,6.36,0.7596,8.7596,2025-06-02T08:00:00Z
SYN-LG-4091,2505,2507,91,8993257,6,14.26,12.06,3.21,3.41,0.8197,81.97,Số bưu gửi tháng hiện tại thấp hơn 51% so với trung bình 3 tháng liền trước,item_drop,91.0,184.0,-93.0,0.5054,10.5054,Số lượng khiếu nại nhận được tăng 200% so với trung bình 3 tháng liền trước,complaint_increase,6.0,2.0,4.0,2.0,11.0,Tỷ lệ số đơn giao muộn tăng 69% so với trung bình 3 tháng liền trước,delay_rate_increase,14.26,8.45,5.81,0.6876,8.6876,2025-06-02T08:00:00Z
SYN-LG-5220,2505,2507,44,4422088,6,13.32,9.87,3.25,3.42,0.8183,81.83,Số bưu gửi tháng hiện tại thấp hơn 49% so với trung bình 3 tháng liền trước,item_drop,44.0,86.0,-42.0,0.4884,10.4884,Số lượng khiếu nại nhận được tăng 157% so với trung bình 3 tháng liền trước,complaint_increase,6.0,2.33,3.67,1.5714,10.5714,Tỷ lệ số đơn giao muộn tăng 85% so với trung bình 3 tháng liền trước,delay_rate_increase,13.32,7.2,6.12,0.8509,8.8509,2025-06-02T08:00:00Z
SYN-LG-0007,2505,2507,67,4341734,5,15.56,9.21,3.22,3.52,0.8108,81.08,Số bưu gửi tháng hiện tại thấp hơn 44% so với trung bình 3 tháng liền trước,item_drop,67.0,120.33,-53.33,0.4432,10.4432,Số lượng khiếu nại nhận được tăng 114% so với trung bình 3 tháng liền trước,complaint_increase,5.0,2.33,2.67,1.1429,10.1429,Tỷ lệ số đơn giao muộn tăng 70% so với trung bình 3 tháng liền trước,delay_rate_increase,15.56,9.16,6.4,0.6987,8.6987,2025-06-02T08:00:00Z
SYN-LG-0008,2505,2507,107,11788511,5,13.02,8.67,3.36,3.36,0.7943,79.43,Số bưu gửi tháng hiện tại thấp hơn 45% so với trung bình 3 tháng liền trước,item_drop,107.0,193.0,-86.0,0.4456,10.4456,Số lượng khiếu nại nhận được tăng 150% so với trung bình 3 tháng liền trước,complaint_increase,5.0,2.0,3.0,1.5,10.5,Tỷ lệ số đơn giao muộn tăng 84% so với trung bình 3 tháng liền trước,delay_rate_increase,13.02,7.08,5.94,0.8381,8.8381,2025-06-02T08:00:00Z
SYN-LG-0009,2505,2507,78,7174128,7,13.98,10.56,3.4,3.38,0.7866,78.66,Số bưu gửi tháng hiện tại thấp hơn 44% so với trung bình 3 tháng liền trước,item_drop,78.0,138.33,-60.33,0.4361,10.4361,Số lượng khiếu nại nhận được tăng 91% so với trung bình 3 tháng liền trước,complaint_increase,7.0,3.67,3.33,0.9091,9.9091,Tỷ lệ số đơn giao muộn tăng 62% so với trung bình 3 tháng liền trước,delay_rate_increase,13.98,8.62,5.36,0.6212,8.6212,2025-06-02T08:00:00Z
SYN-LG-0010,2505,2507,33,1830543,8,11.59,11.42,3.59,3.56,0.7521,75.21,Số bưu gửi tháng hiện tại thấp hơn 42% so với trung bình 3 tháng liền trước,item_drop,33.0,57.33,-24.33,0.4244,10.4244,Số lượng khiếu nại nhận được tăng 100% so với trung bình 3 tháng liền trước,complaint_increase,8.0,4.0,4.0,1.0,10.0,Tỷ lệ số đơn giao muộn tăng 75% so với trung bình 3 tháng liền trước,delay_rate_increase,11.59,6.63,4.96,0.7472,8.7472,2025-06-02T08:00:00Z
